# ./go_flow.d -p 16727
CPU    PID  DELTA(us)          PACKAGE FUNCTION
  7  40148         15          runtime                   <- .asmcgocall
  7  40148         15          runtime                   -> .exitsyscall
  7  40148         18          runtime                     -> .cas
  7  40148         12          runtime                     <- .cas
  7  40148         17          runtime                   <- .exitsyscall
 13  40148         17          runtime <- .usleep
 13  40148         16          runtime -> .atomicload
 13  40148         17          runtime <- .atomicload
 13  40148         16          runtime -> .atomicload64
 13  40148         16          runtime <- .atomicload64
 13  40148         16          runtime -> .nanotime
 13  40148         15          runtime   -> .sysvicall6
 13  40148         15          runtime     -> .asmcgocall
 13  40148         15          runtime       -> .asmsysvicall6
 13  40148         17          runtime         -> .nanotime1
 13  40148         16          runtime         <- .nanotime1
 13  40148         15          runtime       <- .asmsysvicall6
 13  40148         15          runtime     <- .asmcgocall
 13  40148         14          runtime   <- .sysvicall6
 13  40148         14          runtime <- .nanotime
 13  40148         22          runtime -> .usleep
 13  40148         14          runtime   -> .sysvicall6
 13  40148         14          runtime     -> .asmcgocall
 13  40148         15          runtime       -> .asmsysvicall6
  7  40148         21          runtime                   -> .unlockOSThread
  7  40148         24          runtime                   <- .unlockOSThread
  7  40148         18          runtime                 <- .cgocall
  7  40148         13          syscall               <- .Syscall
  7  40148         13          syscall             <- .write
  7  40148         13          syscall           <- .Write
  7  40148         13               os         <- .(*File).write
  7  40148         13               os         -> .epipecheck
  7  40148         14      sync/atomic           -> .StoreInt32
  7  40148         15      sync/atomic           <- .StoreInt32
  7  40148         16      sync/atomic           -> .StoreUint32
  7  40148         16      sync/atomic           <- .StoreUint32
  7  40148         15               os         <- .epipecheck
  7  40148         13               os       <- .(*File).Write
  7  40148         13              fmt       -> .(*pp).free
  7  40148         13              fmt         -> .(*cache).put
  7  40148         14             sync           -> .(*Mutex).Lock
  7  40148         16      sync/atomic             -> .CompareAndSwapInt32
  7  40148         19      sync/atomic             <- .CompareAndSwapInt32
  7  40148         25      sync/atomic             -> .CompareAndSwapUint32
  7  40148         20      sync/atomic             <- .CompareAndSwapUint32
  7  40148         18             sync           <- .(*Mutex).Lock
  7  40148         15             sync           -> .(*Mutex).Unlock
  7  40148         15      sync/atomic             -> .AddInt32
  7  40148         14      sync/atomic             <- .AddInt32
  7  40148         16      sync/atomic             -> .AddUint32
  7  40148         16      sync/atomic             <- .AddUint32
  7  40148         18             sync           <- .(*Mutex).Unlock
  7  40148         14              fmt         <- .(*cache).put
  7  40148         13              fmt       <- .(*pp).free
  7  40148         12              fmt     <- .Fprintf
  7  40148         11              fmt   <- .Printf
  7  40148         12              fmt   -> .Printf
  7  40148         12              fmt     -> .Fprintf
  7  40148         12              fmt       -> .newPrinter
  7  40148         13              fmt         -> .(*cache).get
  7  40148         13             sync           -> .(*Mutex).Lock
  7  40148         16      sync/atomic             -> .CompareAndSwapInt32
  7  40148         18      sync/atomic             <- .CompareAndSwapInt32
  7  40148         19      sync/atomic             -> .CompareAndSwapUint32
  7  40148         19      sync/atomic             <- .CompareAndSwapUint32
  7  40148         17             sync           <- .(*Mutex).Lock
  7  40148         14             sync           -> .(*Mutex).Unlock
  7  40148         15      sync/atomic             -> .AddInt32
  7  40148         14      sync/atomic             <- .AddInt32
  7  40148         18      sync/atomic             -> .AddUint32
  7  40148         16      sync/atomic             <- .AddUint32
  7  40148         15             sync           <- .(*Mutex).Unlock
  7  40148         14              fmt         <- .(*cache).get
  7  40148         14          runtime         -> .assertE2T
  7  40148         22          runtime           -> .memcopy64
  7  40148         14          runtime           <- .memcopy64
  7  40148         21          runtime         <- .assertE2T
  7  40148         14              fmt         -> .(*fmt).init
  7  40148         14              fmt           -> .(*fmt).clearflags
  7  40148         15              fmt           <- .(*fmt).clearflags
  7  40148         14              fmt         <- .(*fmt).init
  7  40148         13              fmt       <- .newPrinter
  7  40148         14              fmt       -> .(*pp).doPrintf
  7  40148         14              fmt       <- .(*pp).doPrintf
  7  40148         15               os       -> .(*File).Write
  7  40148         16               os         -> .(*File).write
  7  40148         13          syscall           -> .Write
  7  40148         13          syscall             -> .write
  7  40148         13          syscall               -> .Syscall
  7  40148         14          runtime                 -> .cgocall
  7  40148         14          runtime                   -> .lockOSThread
  7  40148         23          runtime                   <- .lockOSThread
  7  40148         16          runtime                   -> .entersyscall
  7  40148         15          runtime                     -> .getcallerpc
  7  40148         15          runtime                     <- .getcallerpc
  7  40148         15          runtime                     -> .getcallersp
  7  40148         15          runtime                     <- .getcallersp
  7  40148         20          runtime                     -> .atomicload
  7  40148         14          runtime                     <- .atomicload
  7  40148         15          runtime                     -> .atomicstore
  7  40148         15          runtime                     <- .atomicstore
  7  40148         15          runtime                   <- .entersyscall
  7  40148         18          runtime                   -> .asmcgocall
  7  40148         26          runtime                     -> .asmsysvicall6
  7  40148         22          runtime                     <- .asmsysvicall6
  7  40148         16          runtime                   <- .asmcgocall
  7  40148         15          runtime                   -> .exitsyscall
  7  40148         19          runtime                     -> .cas
  7  40148         12          runtime                     <- .cas
  7  40148         17          runtime                   <- .exitsyscall
  7  40148         18          runtime                   -> .unlockOSThread
  7  40148         24          runtime                   <- .unlockOSThread
  7  40148         18          runtime                 <- .cgocall
  7  40148         13          syscall               <- .Syscall
  7  40148         13          syscall             <- .write
  7  40148         13          syscall           <- .Write
  7  40148         16               os         <- .(*File).write
  7  40148         13               os         -> .epipecheck
  7  40148         14      sync/atomic           -> .StoreInt32
  7  40148         15      sync/atomic           <- .StoreInt32
  7  40148         16      sync/atomic           -> .StoreUint32
  7  40148         16      sync/atomic           <- .StoreUint32
  7  40148         15               os         <- .epipecheck
  7  40148         13               os       <- .(*File).Write
  7  40148         13              fmt       -> .(*pp).free
  7  40148         13              fmt         -> .(*cache).put
  7  40148         14             sync           -> .(*Mutex).Lock
  7  40148         16      sync/atomic             -> .CompareAndSwapInt32
  7  40148         18      sync/atomic             <- .CompareAndSwapInt32
  7  40148         19      sync/atomic             -> .CompareAndSwapUint32
  7  40148         19      sync/atomic             <- .CompareAndSwapUint32
  7  40148         18             sync           <- .(*Mutex).Lock
  7  40148         15             sync           -> .(*Mutex).Unlock
  7  40148         15      sync/atomic             -> .AddInt32
  7  40148         14      sync/atomic             <- .AddInt32
  7  40148         15      sync/atomic             -> .AddUint32
  7  40148         15      sync/atomic             <- .AddUint32
  7  40148         15             sync           <- .(*Mutex).Unlock
  7  40148         14              fmt         <- .(*cache).put
  7  40148         15              fmt       <- .(*pp).free
  7  40148         12              fmt     <- .Fprintf
  7  40148         11              fmt   <- .Printf
  7  40148         12              fmt   -> .Printf
  7  40148         12              fmt     -> .Fprintf
  7  40148         12              fmt       -> .newPrinter
  7  40148         13              fmt         -> .(*cache).get
  7  40148         13             sync           -> .(*Mutex).Lock
  7  40148         16      sync/atomic             -> .CompareAndSwapInt32
  7  40148         18      sync/atomic             <- .CompareAndSwapInt32
  7  40148         19      sync/atomic             -> .CompareAndSwapUint32
  7  40148         19      sync/atomic             <- .CompareAndSwapUint32
  7  40148         17             sync           <- .(*Mutex).Lock
  7  40148         14             sync           -> .(*Mutex).Unlock
  7  40148         15      sync/atomic             -> .AddInt32
  7  40148         16      sync/atomic             <- .AddInt32
  7  40148         16      sync/atomic             -> .AddUint32
  7  40148         16      sync/atomic             <- .AddUint32
  7  40148         15             sync           <- .(*Mutex).Unlock
  7  40148         14              fmt         <- .(*cache).get
  7  40148         14          runtime         -> .assertE2T
  7  40148         22          runtime           -> .memcopy64
  7  40148         14          runtime           <- .memcopy64
  7  40148         21          runtime         <- .assertE2T
  7  40148         21              fmt         -> .(*fmt).init
  7  40148         21              fmt           -> .(*fmt).clearflags
  7  40148         21              fmt           <- .(*fmt).clearflags
  7  40148         15              fmt         <- .(*fmt).init
  7  40148         13              fmt       <- .newPrinter
  7  40148         14              fmt       -> .(*pp).doPrintf
  7  40148         14              fmt       <- .(*pp).doPrintf
  7  40148         14               os       -> .(*File).Write
  7  40148         16               os         -> .(*File).write
  7  40148         14          syscall           -> .Write
  7  40148         13          syscall             -> .write
  7  40148         13          syscall               -> .Syscall
  7  40148         14          runtime                 -> .cgocall
  7  40148         14          runtime                   -> .lockOSThread
  7  40148         23          runtime                   <- .lockOSThread
  7  40148         16          runtime                   -> .entersyscall
  7  40148         15          runtime                     -> .getcallerpc
  7  40148         15          runtime                     <- .getcallerpc
  7  40148         15          runtime                     -> .getcallersp
  7  40148         15          runtime                     <- .getcallersp
  7  40148         21          runtime                     -> .atomicload
  7  40148         14          runtime                     <- .atomicload
  7  40148         15          runtime                     -> .atomicstore
  7  40148         15          runtime                     <- .atomicstore
  7  40148         16          runtime                   <- .entersyscall
  7  40148         16          runtime                   -> .asmcgocall
  7  40148         21          runtime                     -> .asmsysvicall6
  7  40148         22          runtime                     <- .asmsysvicall6
  7  40148         15          runtime                   <- .asmcgocall
  7  40148         15          runtime                   -> .exitsyscall
  7  40148         19          runtime                     -> .cas
  7  40148         12          runtime                     <- .cas
  7  40148         17          runtime                   <- .exitsyscall
  7  40148         19          runtime                   -> .unlockOSThread
  7  40148         24          runtime                   <- .unlockOSThread
  7  40148         18          runtime                 <- .cgocall
  7  40148         13          syscall               <- .Syscall
  7  40148         13          syscall             <- .write
  7  40148         13          syscall           <- .Write
  7  40148         13               os         <- .(*File).write
  7  40148         13               os         -> .epipecheck
  7  40148         14      sync/atomic           -> .StoreInt32
  7  40148         15      sync/atomic           <- .StoreInt32
  7  40148         17      sync/atomic           -> .StoreUint32
  7  40148         16      sync/atomic           <- .StoreUint32
  7  40148         15               os         <- .epipecheck
  7  40148         13               os       <- .(*File).Write
  7  40148         13              fmt       -> .(*pp).free
  7  40148         14              fmt         -> .(*cache).put
  7  40148         14             sync           -> .(*Mutex).Lock
  7  40148         19      sync/atomic             -> .CompareAndSwapInt32
  7  40148         18      sync/atomic             <- .CompareAndSwapInt32
  7  40148         19      sync/atomic             -> .CompareAndSwapUint32
  7  40148         19      sync/atomic             <- .CompareAndSwapUint32
  7  40148         18             sync           <- .(*Mutex).Lock
  7  40148         15             sync           -> .(*Mutex).Unlock
  7  40148         15      sync/atomic             -> .AddInt32
  7  40148         14      sync/atomic             <- .AddInt32
  7  40148         16      sync/atomic             -> .AddUint32
  7  40148         16      sync/atomic             <- .AddUint32
  7  40148         15             sync           <- .(*Mutex).Unlock
  7  40148         14              fmt         <- .(*cache).put
  7  40148         13              fmt       <- .(*pp).free
  7  40148         12              fmt     <- .Fprintf
  7  40148         12              fmt   <- .Printf
  7  40148         12              fmt   -> .Printf
  7  40148         12              fmt     -> .Fprintf
  7  40148         12              fmt       -> .newPrinter
  7  40148         16              fmt         -> .(*cache).get
  7  40148         14             sync           -> .(*Mutex).Lock
  7  40148         16      sync/atomic             -> .CompareAndSwapInt32
  7  40148         18      sync/atomic             <- .CompareAndSwapInt32
  7  40148         19      sync/atomic             -> .CompareAndSwapUint32
  7  40148         19      sync/atomic             <- .CompareAndSwapUint32
  7  40148         17             sync           <- .(*Mutex).Lock
  7  40148         15             sync           -> .(*Mutex).Unlock
  7  40148         15      sync/atomic             -> .AddInt32
  7  40148         14      sync/atomic             <- .AddInt32
  7  40148         15      sync/atomic             -> .AddUint32
  7  40148         18      sync/atomic             <- .AddUint32
  7  40148         18             sync           <- .(*Mutex).Unlock
  7  40148         23              fmt         <- .(*cache).get
  7  40148         18          runtime         -> .assertE2T
  7  40148         30          runtime           -> .memcopy64
  7  40148         18          runtime           <- .memcopy64
  7  40148         22          runtime         <- .assertE2T
  7  40148         14              fmt         -> .(*fmt).init
  7  40148         14              fmt           -> .(*fmt).clearflags
  7  40148         15              fmt           <- .(*fmt).clearflags
  7  40148         14              fmt         <- .(*fmt).init
  7  40148         13              fmt       <- .newPrinter
  7  40148         14              fmt       -> .(*pp).doPrintf
  7  40148         14              fmt       <- .(*pp).doPrintf
  7  40148         15               os       -> .(*File).Write
  7  40148         14               os         -> .(*File).write
  7  40148         14          syscall           -> .Write
  7  40148         13          syscall             -> .write
  7  40148         13          syscall               -> .Syscall
  7  40148         14          runtime                 -> .cgocall
  7  40148         17          runtime                   -> .lockOSThread
  7  40148         24          runtime                   <- .lockOSThread
  7  40148         16          runtime                   -> .entersyscall
  7  40148         17          runtime                     -> .getcallerpc
  7  40148         17          runtime                     <- .getcallerpc
  7  40148         17          runtime                     -> .getcallersp
  7  40148         17          runtime                     <- .getcallersp
  7  40148         24          runtime                     -> .atomicload
  7  40148         16          runtime                     <- .atomicload
  7  40148         17          runtime                     -> .atomicstore
  7  40148         15          runtime                     <- .atomicstore
  7  40148         15          runtime                   <- .entersyscall
  7  40148         15          runtime                   -> .asmcgocall
  7  40148         21          runtime                     -> .asmsysvicall6
  7  40148         22          runtime                     <- .asmsysvicall6
  7  40148         16          runtime                   <- .asmcgocall
  7  40148         17          runtime                   -> .exitsyscall
  7  40148         19          runtime                     -> .cas
  7  40148         13          runtime                     <- .cas
  7  40148         17          runtime                   <- .exitsyscall
  7  40148         30          runtime                   -> .unlockOSThread
  7  40148         31          runtime                   <- .unlockOSThread
  7  40148         18          runtime                 <- .cgocall
  7  40148         13          syscall               <- .Syscall
  7  40148         13          syscall             <- .write
  7  40148         15          syscall           <- .Write
  7  40148         15               os         <- .(*File).write
  7  40148         15               os         -> .epipecheck
  7  40148         17      sync/atomic           -> .StoreInt32
  7  40148         17      sync/atomic           <- .StoreInt32
  7  40148         19      sync/atomic           -> .StoreUint32
  7  40148         18      sync/atomic           <- .StoreUint32
  7  40148         17               os         <- .epipecheck
  7  40148         13               os       <- .(*File).Write
  7  40148         13              fmt       -> .(*pp).free
  7  40148         13              fmt         -> .(*cache).put
  7  40148         15             sync           -> .(*Mutex).Lock
  7  40148         19      sync/atomic             -> .CompareAndSwapInt32
  7  40148         18      sync/atomic             <- .CompareAndSwapInt32
  7  40148         19      sync/atomic             -> .CompareAndSwapUint32
  7  40148         19      sync/atomic             <- .CompareAndSwapUint32
  7  40148         18             sync           <- .(*Mutex).Lock
  7  40148         15             sync           -> .(*Mutex).Unlock
  7  40148         15      sync/atomic             -> .AddInt32
  7  40148         14      sync/atomic             <- .AddInt32
  7  40148         16      sync/atomic             -> .AddUint32
  7  40148         16      sync/atomic             <- .AddUint32
  7  40148         15             sync           <- .(*Mutex).Unlock
  7  40148         16              fmt         <- .(*cache).put
  7  40148         15              fmt       <- .(*pp).free
  7  40148         14              fmt     <- .Fprintf
  7  40148         14              fmt   <- .Printf
  7  40148         14              fmt   -> .Printf
  7  40148         14              fmt     -> .Fprintf
  7  40148         14              fmt       -> .newPrinter
  7  40148         15              fmt         -> .(*cache).get
  7  40148         16             sync           -> .(*Mutex).Lock
  7  40148         16      sync/atomic             -> .CompareAndSwapInt32
  7  40148         18      sync/atomic             <- .CompareAndSwapInt32
  7  40148         19      sync/atomic             -> .CompareAndSwapUint32
  7  40148         19      sync/atomic             <- .CompareAndSwapUint32
  7  40148         17             sync           <- .(*Mutex).Lock
  7  40148         16             sync           -> .(*Mutex).Unlock
  7  40148         15      sync/atomic             -> .AddInt32
  7  40148         14      sync/atomic             <- .AddInt32
  7  40148         15      sync/atomic             -> .AddUint32
  7  40148         16      sync/atomic             <- .AddUint32
  7  40148         15             sync           <- .(*Mutex).Unlock
  7  40148         14              fmt         <- .(*cache).get
  7  40148         14          runtime         -> .assertE2T
  7  40148         25          runtime           -> .memcopy64
  7  40148         16          runtime           <- .memcopy64
  7  40148         27          runtime         <- .assertE2T
  7  40148         17              fmt         -> .(*fmt).init
  7  40148         16              fmt           -> .(*fmt).clearflags
  7  40148         18              fmt           <- .(*fmt).clearflags
  7  40148         16              fmt         <- .(*fmt).init
  7  40148         14              fmt       <- .newPrinter
  7  40148         15              fmt       -> .(*pp).doPrintf
  7  40148         14              fmt       <- .(*pp).doPrintf
  7  40148         14               os       -> .(*File).Write
  7  40148         13               os         -> .(*File).write
  7  40148         14          syscall           -> .Write
  7  40148         18          syscall             -> .write
  7  40148         14          syscall               -> .Syscall
  7  40148         15          runtime                 -> .cgocall
  7  40148         15          runtime                   -> .lockOSThread
  7  40148         27          runtime                   <- .lockOSThread
  7  40148         17          runtime                   -> .entersyscall
  7  40148         15          runtime                     -> .getcallerpc
  7  40148         15          runtime                     <- .getcallerpc
  7  40148         15          runtime                     -> .getcallersp
  7  40148         15          runtime                     <- .getcallersp
  7  40148         20          runtime                     -> .atomicload
  7  40148         15          runtime                     <- .atomicload
  7  40148         15          runtime                     -> .atomicstore
  7  40148         14          runtime                     <- .atomicstore
  7  40148         15          runtime                   <- .entersyscall
  7  40148         15          runtime                   -> .asmcgocall
  7  40148         21          runtime                     -> .asmsysvicall6
  7  40148         21          runtime                     <- .asmsysvicall6
  7  40148         15          runtime                   <- .asmcgocall
  7  40148         15          runtime                   -> .exitsyscall
  7  40148         20          runtime                     -> .cas
  7  40148         12          runtime                     <- .cas
  7  40148         17          runtime                   <- .exitsyscall
  7  40148         18          runtime                   -> .unlockOSThread
  7  40148         24          runtime                   <- .unlockOSThread
  7  40148         18          runtime                 <- .cgocall
  7  40148         13          syscall               <- .Syscall
  7  40148         13          syscall             <- .write
  7  40148         13          syscall           <- .Write
  7  40148         13               os         <- .(*File).write
  7  40148         13               os         -> .epipecheck
  7  40148         14      sync/atomic           -> .StoreInt32
  7  40148         15      sync/atomic           <- .StoreInt32
  7  40148         16      sync/atomic           -> .StoreUint32
  7  40148         16      sync/atomic           <- .StoreUint32
  7  40148         15               os         <- .epipecheck
  7  40148         13               os       <- .(*File).Write
  7  40148         13              fmt       -> .(*pp).free
  7  40148         13              fmt         -> .(*cache).put
  7  40148         14             sync           -> .(*Mutex).Lock
  7  40148         16      sync/atomic             -> .CompareAndSwapInt32
  7  40148         18      sync/atomic             <- .CompareAndSwapInt32
  7  40148         19      sync/atomic             -> .CompareAndSwapUint32
  7  40148         19      sync/atomic             <- .CompareAndSwapUint32
  7  40148         20             sync           <- .(*Mutex).Lock
  7  40148         15             sync           -> .(*Mutex).Unlock
  7  40148         15      sync/atomic             -> .AddInt32
  7  40148         14      sync/atomic             <- .AddInt32
  7  40148         15      sync/atomic             -> .AddUint32
  7  40148         20      sync/atomic             <- .AddUint32
  7  40148         16             sync           <- .(*Mutex).Unlock
  7  40148         14              fmt         <- .(*cache).put
  7  40148         13              fmt       <- .(*pp).free
  7  40148         12              fmt     <- .Fprintf
  7  40148         11              fmt   <- .Printf
  7  40148         12              fmt   -> .Printf
  7  40148         12              fmt     -> .Fprintf
  7  40148         12              fmt       -> .newPrinter
  7  40148         13              fmt         -> .(*cache).get
  7  40148         13             sync           -> .(*Mutex).Lock
  7  40148         16      sync/atomic             -> .CompareAndSwapInt32
  7  40148         18      sync/atomic             <- .CompareAndSwapInt32
  7  40148         19      sync/atomic             -> .CompareAndSwapUint32
  7  40148         19      sync/atomic             <- .CompareAndSwapUint32
  7  40148         19             sync           <- .(*Mutex).Lock
  7  40148         15             sync           -> .(*Mutex).Unlock
  7  40148         15      sync/atomic             -> .AddInt32
  7  40148         14      sync/atomic             <- .AddInt32
  7  40148         16      sync/atomic             -> .AddUint32
  7  40148         15      sync/atomic             <- .AddUint32
  7  40148         15             sync           <- .(*Mutex).Unlock
  7  40148         14              fmt         <- .(*cache).get
  7  40148         14          runtime         -> .assertE2T
  7  40148         22          runtime           -> .memcopy64
  7  40148         14          runtime           <- .memcopy64
  7  40148         21          runtime         <- .assertE2T
  7  40148         14              fmt         -> .(*fmt).init
  7  40148         14              fmt           -> .(*fmt).clearflags
  7  40148         15              fmt           <- .(*fmt).clearflags
  7  40148         14              fmt         <- .(*fmt).init
  7  40148         15              fmt       <- .newPrinter
  7  40148         14              fmt       -> .(*pp).doPrintf
  7  40148         14              fmt       <- .(*pp).doPrintf
  7  40148         17               os       -> .(*File).Write
  7  40148         19               os         -> .(*File).write
  7  40148         14          syscall           -> .Write
  7  40148         15          syscall             -> .write
  7  40148         17          syscall               -> .Syscall
  7  40148         14          runtime                 -> .cgocall
  7  40148         25          runtime                   -> .lockOSThread
  7  40148         24          runtime                   <- .lockOSThread
  7  40148         17          runtime                   -> .entersyscall
  7  40148         15          runtime                     -> .getcallerpc
  7  40148         15          runtime                     <- .getcallerpc
  7  40148         15          runtime                     -> .getcallersp
  7  40148         15          runtime                     <- .getcallersp
  7  40148         20          runtime                     -> .atomicload
  7  40148         14          runtime                     <- .atomicload
  7  40148         15          runtime                     -> .atomicstore
  7  40148         15          runtime                     <- .atomicstore
  7  40148         15          runtime                   <- .entersyscall
  7  40148         15          runtime                   -> .asmcgocall
  7  40148         21          runtime                     -> .asmsysvicall6
  7  40148         22          runtime                     <- .asmsysvicall6
  7  40148         18          runtime                   <- .asmcgocall
  7  40148         15          runtime                   -> .exitsyscall
  7  40148         19          runtime                     -> .cas
  7  40148         12          runtime                     <- .cas
  7  40148         18          runtime                   <- .exitsyscall
  7  40148         19          runtime                   -> .unlockOSThread
  7  40148         24          runtime                   <- .unlockOSThread
  7  40148         25          runtime                 <- .cgocall
  7  40148         14          syscall               <- .Syscall
  7  40148         13          syscall             <- .write
  7  40148         15          syscall           <- .Write
  7  40148         13               os         <- .(*File).write
  7  40148         14               os         -> .epipecheck
  7  40148         15      sync/atomic           -> .StoreInt32
  7  40148         15      sync/atomic           <- .StoreInt32
  7  40148         17      sync/atomic           -> .StoreUint32
  7  40148         16      sync/atomic           <- .StoreUint32
  7  40148         15               os         <- .epipecheck
  7  40148         13               os       <- .(*File).Write
  7  40148         13              fmt       -> .(*pp).free
  7  40148         13              fmt         -> .(*cache).put
  7  40148         14             sync           -> .(*Mutex).Lock
  7  40148         16      sync/atomic             -> .CompareAndSwapInt32
  7  40148         18      sync/atomic             <- .CompareAndSwapInt32
  7  40148         20      sync/atomic             -> .CompareAndSwapUint32
  7  40148         21      sync/atomic             <- .CompareAndSwapUint32
  7  40148         18             sync           <- .(*Mutex).Lock
  7  40148         15             sync           -> .(*Mutex).Unlock
  7  40148         15      sync/atomic             -> .AddInt32
  7  40148         15      sync/atomic             <- .AddInt32
  7  40148         16      sync/atomic             -> .AddUint32
  7  40148         16      sync/atomic             <- .AddUint32
  7  40148         15             sync           <- .(*Mutex).Unlock
  7  40148         14              fmt         <- .(*cache).put
  7  40148         13              fmt       <- .(*pp).free
  7  40148         12              fmt     <- .Fprintf
  7  40148         12              fmt   <- .Printf
  7  40148         12              fmt   -> .Printf
  7  40148         12              fmt     -> .Fprintf
  7  40148         12              fmt       -> .newPrinter
  7  40148         13              fmt         -> .(*cache).get
  7  40148         13             sync           -> .(*Mutex).Lock
  7  40148         16      sync/atomic             -> .CompareAndSwapInt32
  7  40148         20      sync/atomic             <- .CompareAndSwapInt32
  7  40148         19      sync/atomic             -> .CompareAndSwapUint32
  7  40148         19      sync/atomic             <- .CompareAndSwapUint32
  7  40148         17             sync           <- .(*Mutex).Lock
  7  40148         14             sync           -> .(*Mutex).Unlock
  7  40148         15      sync/atomic             -> .AddInt32
  7  40148         14      sync/atomic             <- .AddInt32
  7  40148         15      sync/atomic             -> .AddUint32
  7  40148         15      sync/atomic             <- .AddUint32
  7  40148         15             sync           <- .(*Mutex).Unlock
  7  40148         14              fmt         <- .(*cache).get
  7  40148         14          runtime         -> .assertE2T
  7  40148         22          runtime           -> .memcopy64
  7  40148         14          runtime           <- .memcopy64
  7  40148         21          runtime         <- .assertE2T
  7  40148         14              fmt         -> .(*fmt).init
  7  40148         14              fmt           -> .(*fmt).clearflags
  7  40148         15              fmt           <- .(*fmt).clearflags
  7  40148         14              fmt         <- .(*fmt).init
  7  40148         15              fmt       <- .newPrinter
  7  40148         14              fmt       -> .(*pp).doPrintf
  7  40148         14              fmt       <- .(*pp).doPrintf
  7  40148         14               os       -> .(*File).Write
  7  40148         13               os         -> .(*File).write
  7  40148         13          syscall           -> .Write
  7  40148         13          syscall             -> .write
  7  40148         13          syscall               -> .Syscall
  7  40148         13          runtime                 -> .cgocall
  7  40148         14          runtime                   -> .lockOSThread
  7  40148         23          runtime                   <- .lockOSThread
  7  40148         16          runtime                   -> .entersyscall
  7  40148         15          runtime                     -> .getcallerpc
  7  40148         15          runtime                     <- .getcallerpc
  7  40148         15          runtime                     -> .getcallersp
  7  40148         14          runtime                     <- .getcallersp
  7  40148         20          runtime                     -> .atomicload
  7  40148         14          runtime                     <- .atomicload
  7  40148         15          runtime                     -> .atomicstore
  7  40148         15          runtime                     <- .atomicstore
  7  40148         15          runtime                   <- .entersyscall
  7  40148         15          runtime                   -> .asmcgocall
  7  40148         21          runtime                     -> .asmsysvicall6
  7  40148         22          runtime                     <- .asmsysvicall6
  7  40148         15          runtime                   <- .asmcgocall
  7  40148         15          runtime                   -> .exitsyscall
  7  40148         21          runtime                     -> .cas
  7  40148         12          runtime                     <- .cas
  7  40148         17          runtime                   <- .exitsyscall
  7  40148         19          runtime                   -> .unlockOSThread
  7  40148         24          runtime                   <- .unlockOSThread
  7  40148         18          runtime                 <- .cgocall
  7  40148         13          syscall               <- .Syscall
  7  40148         13          syscall             <- .write
  7  40148         13          syscall           <- .Write
  7  40148         13               os         <- .(*File).write
  7  40148         13               os         -> .epipecheck
  7  40148         14      sync/atomic           -> .StoreInt32
  7  40148         15      sync/atomic           <- .StoreInt32
  7  40148         16      sync/atomic           -> .StoreUint32
  7  40148         16      sync/atomic           <- .StoreUint32
